"geo","year","gdp_pps_hab","gdp_eur_hab","income_pps_hab","unemp_rate","life_exp","tertiary_pct"
"AT11",2008,20100,22100,18700,4.2,80,14.1
"AT11",2009,20100,22400,18500,5,80.9,15.1
"AT11",2010,21100,23400,18700,4,80.9,14.8
"AT11",2011,22000,24500,18600,3.8,81.2,14.8
"AT11",2012,23000,25400,19700,4.6,80.6,13.9
"AT11",2013,23400,25800,19200,4.3,81.1,15.8
"AT11",2014,23800,26600,19500,4.8,81.3,25.7
"AT11",2015,25100,27900,20000,5.2,81.1,28.5
"AT11",2016,25500,28500,20400,5.7,81.3,27.9
"AT11",2017,26100,29500,20800,5.2,81.4,28
"AT11",2018,26700,30100,21300,4.2,81.4,28.4
"AT11",2019,27200,30800,21400,3.6,81.8,30.7
"AT11",2020,26100,29700,21800,4.2,81.8,33.1
"AT11",2021,28100,31800,23200,5.1,81.5,31.4
"AT11",2022,31000,34500,25400,4.3,81.4,31.4
"AT11",2023,33200,37500,26100,5.2,82.1,33.2
"AT11",2024,34400,39000,28000,4.9,81.8,34.7
"AT12",2008,26100,28700,19500,3.7,80,16.1
"AT12",2009,25100,28100,19400,4.7,80.1,17.6
"AT12",2010,25800,28700,19700,3.9,80.5,17.9
"AT12",2011,26900,30000,19700,4.5,80.8,17.2
"AT12",2012,28000,30800,20400,4.6,80.6,17.2
"AT12",2013,28200,31100,20100,5,81,17.6
"AT12",2014,28600,31900,20300,5.1,81,29.1
"AT12",2015,29500,32700,20500,5.2,80.9,30.3
"AT12",2016,30200,33700,21000,5.2,81.2,30.2
"AT12",2017,30900,34900,21000,4.8,81.5,32
"AT12",2018,32000,36100,21700,3.8,81.4,31.9
"AT12",2019,33100,37600,21700,4,81.6,32.4
"AT12",2020,30800,35100,22000,4.2,81.2,33
"AT12",2021,33100,37400,23500,5.1,80.7,33.9
"AT12",2022,36600,40700,25700,4,81.2,34.1
"AT12",2023,38300,43300,26500,4.3,81.5,36
"AT12",2024,39300,44500,28300,4.2,81.8,38
