"geo","region_name","country","country_name"
"AT11","Burgenland","AT","Austria"
"AT12","Niederösterreich","AT","Austria"
"AT13","Wien","AT","Austria"
"AT21","Kärnten","AT","Austria"
"AT22","Steiermark","AT","Austria"
"AT31","Oberösterreich","AT","Austria"
"AT32","Salzburg","AT","Austria"
"AT33","Tirol","AT","Austria"
"AT34","Vorarlberg","AT","Austria"
"BE10","Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest","BE","Belgium"
"BE21","Prov. Antwerpen","BE","Belgium"
"BE22","Prov. Limburg (BE)","BE","Belgium"
"BE23","Prov. Oost-Vlaanderen","BE","Belgium"
"BE24","Prov. Vlaams-Brabant","BE","Belgium"
"BE25","Prov. West-Vlaanderen","BE","Belgium"
"BE31","Prov. Brabant wallon","BE","Belgium"
"BE32","Prov. Hainaut","BE","Belgium"
"BE33","Prov. Liège","BE","Belgium"
"BE34","Prov. Luxembourg (BE)","BE","Belgium"
"BE35","Prov. Namur","BE","Belgium"
"BG31","Severozapaden","BG","Bulgaria"
"BG32","Severen tsentralen","BG","Bulgaria"
"BG33","Severoiztochen","BG","Bulgaria"
"BG34","Yugoiztochen","BG","Bulgaria"
"BG41","Yugozapaden","BG","Bulgaria"
"BG42","Yuzhen tsentralen","BG","Bulgaria"
"CH01","Région lémanique","CH","Switzerland"
"CH02","Espace Mittelland","CH","Switzerland"
"CH03","Nordwestschweiz","CH","Switzerland"
"CH04","Zürich","CH","Switzerland"
"CH05","Ostschweiz","CH","Switzerland"
"CH06","Zentralschweiz","CH","Switzerland"
"CH07","Ticino","CH","Switzerland"
"CY00","Kýpros","CY","Cyprus"
"CZ01","Praha","CZ","Czechia"
"CZ02","Střední Čechy","CZ","Czechia"
"CZ03","Jihozápad","CZ","Czechia"
"CZ04","Severozápad","CZ","Czechia"
"CZ05","Severovýchod","CZ","Czechia"
"CZ06","Jihovýchod","CZ","Czechia"
"CZ07","Střední Morava","CZ","Czechia"
"CZ08","Moravskoslezsko","CZ","Czechia"
"DE11","Stuttgart","DE","Germany"
"DE12","Karlsruhe","DE","Germany"
"DE13","Freiburg","DE","Germany"
"DE14","Tübingen","DE","Germany"
"DE21","Oberbayern","DE","Germany"
"DE22","Niederbayern","DE","Germany"
"DE23","Oberpfalz","DE","Germany"
"DE24","Oberfranken","DE","Germany"
"DE25","Mittelfranken","DE","Germany"
"DE26","Unterfranken","DE","Germany"
"DE27","Schwaben","DE","Germany"
"DE30","Berlin","DE","Germany"
"DE40","Brandenburg","DE","Germany"
"DE50","Bremen","DE","Germany"
"DE60","Hamburg","DE","Germany"
"DE71","Darmstadt","DE","Germany"
"DE72","Gießen","DE","Germany"
"DE73","Kassel","DE","Germany"
"DE80","Mecklenburg-Vorpommern","DE","Germany"
"DE91","Braunschweig","DE","Germany"
"DE92","Hannover","DE","Germany"
"DE93","Lüneburg","DE","Germany"
"DE94","Weser-Ems","DE","Germany"
"DEA1","Düsseldorf","DE","Germany"
"DEA2","Köln","DE","Germany"
"DEA3","Münster","DE","Germany"
"DEA4","Detmold","DE","Germany"
"DEA5","Arnsberg","DE","Germany"
"DEB1","Koblenz","DE","Germany"
"DEB2","Trier","DE","Germany"
"DEB3","Rheinhessen-Pfalz","DE","Germany"
"DEC0","Saarland","DE","Germany"
"DED2","Dresden","DE","Germany"
"DED4","Chemnitz","DE","Germany"
"DED5","Leipzig","DE","Germany"
"DEE0","Sachsen-Anhalt","DE","Germany"
"DEF0","Schleswig-Holstein","DE","Germany"
"DEG0","Thüringen","DE","Germany"
"DK01","Hovedstaden","DK","Denmark"
"DK02","Sjælland","DK","Denmark"
"DK03","Syddanmark","DK","Denmark"
"DK04","Midtjylland","DK","Denmark"
"DK05","Nordjylland","DK","Denmark"
"EE00","Eesti","EE","Estonia"
"EL30","Attiki","EL","Greece"
"EL41","Voreio Aigaio","EL","Greece"
"EL42","Notio Aigaio","EL","Greece"
"EL43","Kriti","EL","Greece"
"EL51","Anatoliki Makedonia, Thraki","EL","Greece"
"EL52","Kentriki Makedonia","EL","Greece"
"EL53","Dytiki Makedonia","EL","Greece"
"EL54","Ipeiros","EL","Greece"
"EL61","Thessalia","EL","Greece"
"EL62","Ionia Nisia","EL","Greece"
"EL63","Dytiki Elláda","EL","Greece"
"EL64","Sterea Elláda","EL","Greece"
"EL65","Peloponnisos","EL","Greece"
"ES11","Galicia","ES","Spain"
"ES12","Principado de Asturias","ES","Spain"
"ES13","Cantabria","ES","Spain"
"ES21","País Vasco","ES","Spain"
"ES22","Comunidad Foral de Navarra","ES","Spain"
"ES23","La Rioja","ES","Spain"
"ES24","Aragón","ES","Spain"
"ES30","Comunidad de Madrid","ES","Spain"
"ES41","Castilla y León","ES","Spain"
"ES42","Castilla-La Mancha","ES","Spain"
"ES43","Extremadura","ES","Spain"
"ES51","Cataluña","ES","Spain"
"ES52","Comunitat Valenciana ","ES","Spain"
"ES53","Illes Balears","ES","Spain"
"ES61","Andalucía","ES","Spain"
"ES62","Región de Murcia","ES","Spain"
"FI19","Länsi-Suomi","FI","Finland"
"FI1B","Helsinki-Uusimaa","FI","Finland"
"FI1C","Etelä-Suomi","FI","Finland"
"FI1D","Pohjois- ja Itä-Suomi","FI","Finland"
"FI20","Åland","FI","Finland"
"FR10","Ile-de-France","FR","France"
"FRB0","Centre — Val de Loire","FR","France"
"FRC1","Bourgogne","FR","France"
"FRC2","Franche-Comté","FR","France"
"FRD1","Basse-Normandie ","FR","France"
"FRD2","Haute-Normandie ","FR","France"
"FRE1","Nord-Pas de Calais","FR","France"
"FRE2","Picardie","FR","France"
"FRF1","Alsace","FR","France"
"FRF2","Champagne-Ardenne","FR","France"
"FRF3","Lorraine","FR","France"
"FRG0","Pays de la Loire","FR","France"
"FRH0","Bretagne","FR","France"
"FRI1","Aquitaine","FR","France"
"FRI2","Limousin","FR","France"
"FRI3","Poitou-Charentes","FR","France"
"FRJ1","Languedoc-Roussillon","FR","France"
"FRJ2","Midi-Pyrénées","FR","France"
"FRK1","Auvergne","FR","France"
"FRK2","Rhône-Alpes","FR","France"
"FRL0","Provence-Alpes-Côte d’Azur","FR","France"
"FRM0","Corse","FR","France"
"HR02","Panonska Hrvatska","HR","Croatia"
"HR03","Jadranska Hrvatska","HR","Croatia"
"HR05","Grad Zagreb","HR","Croatia"
"HR06","Sjeverna Hrvatska","HR","Croatia"
"HU11","Budapest","HU","Hungary"
"HU12","Pest","HU","Hungary"
"HU21","Közép-Dunántúl","HU","Hungary"
"HU22","Nyugat-Dunántúl","HU","Hungary"
"HU23","Dél-Dunántúl","HU","Hungary"
"HU31","Észak-Magyarország","HU","Hungary"
"HU32","Észak-Alföld","HU","Hungary"
"HU33","Dél-Alföld","HU","Hungary"
"IE04","Northern and Western","IE","Ireland"
"IE05","Southern","IE","Ireland"
"IE06","Eastern and Midland","IE","Ireland"
"ITC1","Piemonte","IT","Italy"
"ITC2","Valle d’Aosta/Vallée d’Aoste","IT","Italy"
"ITC3","Liguria","IT","Italy"
"ITC4","Lombardia","IT","Italy"
